,JBLAB-19902,JBLAB-19904,JBLAB-19905,JBLAB-19906,JBLAB-19907,JBLAB-19917,JBLAB-19937,JBLAB-19938,JBLAB-19939,JBLAB-19941
ENSG00000233384,0,0,0,0,0,0.72,0,0,2.102,4.076
ENSG00000185842,130.096,95.797,392.192,313.056,97.48,240.585,251.286,567.597,341.582,465.652
ENSG00000143815,1421.675,730.577,4163.396,2287.844,862.006,1596.214,1279.563,2520.598,3428.429,2306.861
ENSG00000234476,0,0,14.988,105.442,0,25.931,0,42.838,5.255,33.625
ENSG00000282418,0,0,0,3.27,1.393,0,0,0.974,0,0
ENSG00000154380,2342.892,1848.213,13024.769,4498.036,1697.552,6934.454,3508.547,8082.659,4360.684,5870.064
ENSG00000227496,0,0,23.315,0.817,0,13.686,1.051,12.657,0,15.284
ENSG00000226349,0,0,0,0,0,2.161,0,1.947,0,0
ENSG00000143742,2720.287,5327.886,8209.385,5827.912,2074.941,6119.78,6221.178,9363.89,15481.531,8697.598
ENSG00000143819,1016.152,2754.902,4978.589,7429.157,1162.802,10914.904,2381.438,6175.416,3835.174,4075.726
ENSG00000242861,38.677,94.83,73.276,35.147,55.703,76.353,65.187,108.067,81.98,30.568
ENSG00000196187,2175.292,1219.24,978.398,888.491,2271.294,1292.962,726.523,1281.231,1344.255,470.746
ENSG00000243709,0,0,2.498,1.635,0,15.847,2.103,0.974,10.51,3.057
ENSG00000143811,750.101,1387.612,2697.881,1633.941,790.984,1474.481,1273.255,2106.827,1788.837,1488.659
ENSG00000143768,0,0.968,1.665,13.895,2.785,53.303,12.617,4.868,2.102,8.151
ENSG00000143751,695.015,763.477,1344.777,804.301,563.994,780.099,978.86,1135.194,1885.531,1024.026
ENSG00000272562,4.688,0.968,3.331,4.904,4.178,2.881,14.72,4.868,4.204,2.038
ENSG00000163041,2974.618,9065.922,10995.53,8353.613,2574.876,5826.613,7302.025,8458.461,18022.899,10612.17
ENSG00000225518,5.86,5.806,74.941,40.052,2.785,21.609,63.084,42.838,25.224,44.833
ENSG00000270598,7.032,6.774,21.65,12.261,18.104,7.923,11.565,5.841,27.327,22.416
ENSG00000182827,1753.36,2341.715,2345.658,1273.476,1331.304,1651.678,2101.764,2055.227,3030.092,1359.254
ENSG00000234478,0,4.838,1.665,1.635,5.57,0,12.617,1.947,2.102,1.019
ENSG00000185155,2.344,1.935,0.833,16.348,0,11.525,0,7.789,29.429,14.265
ENSG00000183814,159.396,366.74,753.575,309.787,142.043,476.847,292.291,470.239,602.235,239.449
ENSG00000143799,4081.016,4539.251,17665.291,9064.732,3422.956,6685.946,5842.672,7177.23,8709.806,6845.181
ENSG00000229965,221.514,379.319,910.951,353.108,242.309,275.88,448.951,283.312,605.388,708.157
ENSG00000177770,0,0,0,0,1.393,0.72,1.051,0,4.204,0
ENSG00000203685,2.344,1.935,11.658,148.763,0,142.622,37.851,6.815,26.276,8.151
ENSG00000143772,556.715,1876.275,2667.904,616.304,512.469,1849.044,1250.124,1290.967,2231.316,810.05
ENSG00000228382,1.172,0,0,3.27,0,0,0,0,0,0
ENSG00000143801,425.448,397.705,770.228,637.556,413.596,1075.427,241.824,292.074,590.673,315.869
